#,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
#,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Cordova,Copper River/Chugach,922,30,1938,0.0920982486,5354.5921719881,222,1874.3261711712,0.1358979423,86,1794.8052325581,0.3035178251,0.0998233076,15408.0519551104,226064.602451328,1501452.77138643,806,62312.8038758188,451542.057071151,0.3007367702
Covenant Life,Southeast,35,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,7355.755553259,48113.4460381085,35,2064.4790321468,14959.9929865708,0.3109316463
Craig,Southeast,470,34,2228.3529411765,0.0537511315,4072.4007288746,135,1105.8777777778,0.1793364362,124,1102.0040322581,0.2993452465,0.1064149698,14541.4459975677,80490.9907532592,513585.440241008,312,18522.6289304398,134221.948771303,0.2613429787
Crooked Creek,Lower Yukon-Kuskokwim,38,0,0,0,0,3,1045.957275886,0.1666381457,3,594.6666666667,0.3336983204,0.1036206502,184.8592399267,6285.2325722827,39911.2505237878,35,2035.6843346352,14751.3357582259,0.3696034468
Crown Point,Railbelt,26,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,6994.1235371828,46827.2720085709,26,1609.7504797169,11664.8585486733,0.2491039526
Deering,Northwest Arctic,44,0,0,0,0,27,948.0740740741,0.1810855484,27,948.0740740741,0.4408047192,0.0966222738,2473.336964582,5391.9396956861,32548.5485194641,17,1286.5338573437,9322.7091111859,0.2864247266
Delta Junction,Railbelt,377,117,2115.7692307692,0.0894579784,22144.8752748113,266,1930.7388345865,0.1920534361,152,1761.145,0.2055410928,0.1377933138,36886.4488594368,99078.2670924284,662064.109365423,108,8231.2924174987,59647.0465036139,0.090092554
Deltana,Railbelt,784,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,210899.725121204,1412022.35595075,784,48540.1683114638,351740.350083071,0.2491039526
Dillingham,Bristol Bay,855,21,2616,0.0824733783,4530.7575113205,240,1569.4625416667,0.1322978493,78,1461.95,0.232544151,0.1009148571,11507.5330801676,173011.498783135,1126943.46944301,756,36503.201422251,264515.952335152,0.2347198058
Diomede,Bering Straits,38,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,7130.3394127977,46035.2131362149,38,2325.4012966414,16850.7340336329,0.3660401003
Dot Lake,Yukon-Koyukuk/Upper Tanana,7,0,0,0,0,1,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1936.0069731671,12991.2099504859,7,631.9216006527,4579.1420337152,0.352480027
Dot Lake Village,Yukon-Koyukuk/Upper Tanana,19,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,5254.8760700249,35261.8555798904,19,1715.2157732002,12429.0998057983,0.352480027
Douglas,Southeast,0,34,1573.6176470588,0.0811537995,4341.9717351373,150,#DIV/0!,0.1205917085,73,1982.298630137,0.2846455715,0.0843070455,12199.8870760204,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
Dry Creek,Yukon-Koyukuk/Upper Tanana,29,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,8020.6003174064,53820.7269377274,29,2617.9609169897,18970.7312825342,0.352480027
Eagle,Yukon-Koyukuk/Upper Tanana,41,1,712,0.1524859551,108.57,1,1121.8146232877,0.2465402206,1,576,0.3264046098,0.1616145833,93.09,10987.9845647879,73544.3809042601,39,3520.7060607793,25512.3627592702,0.346897512
Eagle Village,Yukon-Koyukuk/Upper Tanana,31,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,8573.7451668827,57532.5012092948,31,2798.5099457476,20279.0575778814,0.352480027
