,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
,,,,SF,MMBtu/sf,MMBtu,,SF,MMBtu/sf,,SF,,MMBtu,MMBtu,MMBtu,,,,Gallons,
community,energy_region,total_occupied,BEES_number,BEES_avg_area,BEES_avg_EUI,BEES_total_consumption,pre_number,pre_avg_area,pre_avg_EUI,post_number,post_avg_area,post_avg_EUI_reduction,post_avg_EUI,post_total_consumption,consumption_heating_electricity_consumption,consumption_gallons_HF,opportunity_non-Wx_HERP_BEES,opportunity_potential_reduction,opportunity_savings,opportunity_total_percent_community_savings
Goodnews Bay,Lower Yukon-Kuskokwim,76,51,803.3,0.1811893863,7423.0211355715,51,803.3,0.1811893863,40,743.75,0.4236835174,0.1116677915,3322.116796245,8561.8964213543,50774.9016040169,0,0,0,0
Grayling,Yukon-Koyukuk/Upper Tanana,55,3,1107.3333333333,0.077840623,258.5865496466,3,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,14640.3526360304,97935.164029206,52,4694.2747477057,34016.4836790269,0.3473367714
Gulkana,Copper River/Chugach,36,7,842.9285714286,0.3225933321,1903.4619561035,7,1845.1516180905,0.1543141463,6,752.4166666667,0.2999368524,0.1382720817,624.229312822,9076.550194047,60434.7115510654,23,1964.2441327319,14233.6531357385,0.2355211561
Gustavus,Southeast,212,38,1396.8292105263,0.130396095,6921.3608260139,38,1396.8292105263,0.130396095,15,1151.584,0.4121661526,0.0898519404,1552.0808532935,37433.8725039443,239828.64133293,159,11936.5093494754,86496.4445614156,0.3606593611
Haines,Southeast,782,261,1794.2896168582,0.1716563731,80388.3257138794,261,1794.2896168582,0.1716563731,147,1616.3775510204,0.2933347203,0.1271016135,30200.2966198073,225781.089065453,1520154.84830038,374,33789.9500112019,244854.7102261,0.1610722161
Halibut Cove,Railbelt,34,2,2237,0.0693243344,310.157072013,2,1747.5136673929,0.1539357067,1,2529,0.2301575703,0.0822775801,208.08,8857.3843663463,59143.0751184515,31,1919.3178796625,13908.1005772643,0.2351602542
Healy,Railbelt,434,92,1777.9211956522,0.1413151739,23114.7463484984,92,1777.9211956522,0.1413151739,31,1312.7419354839,0.1782755223,0.1643670436,6688.9168404564,107941.555736596,717839.969105769,311,13930.0736028485,100942.562339482,0.1406198689
Healy Lake,Yukon-Koyukuk/Upper Tanana,7,1,672,1.2577827381,845.23,1,1121.8146232877,0.2465402206,1,672,0.3264046098,0.5954315476,400.13,2628.2221236908,18007.261765875,5,451.3725718948,3270.815738368,0.1816387067
Hobart Bay,Southeast,1,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,210.1644443788,1374.6698868031,1,58.9851152042,427.4283710449,0.3109316463
Hollis,Southeast,44,13,923.9230769231,0.2119148161,2545.3088558273,13,923.9230769231,0.2119148161,9,894.3333333333,0.2806617236,0.1388733937,1117.7919462359,7970.5465580785,51234.1054933227,22,1208.9351503074,8760.3996399084,0.1709876567
Holy Cross,Yukon-Koyukuk/Upper Tanana,64,7,875.8928571429,0.1893510717,1160.9587581714,7,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,16925.586968246,113160.485277145,57,5145.6473196005,37287.2994173949,0.3295081258
Hoonah,Southeast,305,78,1358.0512820513,0.167334455,17725.4041520149,78,1358.0512820513,0.167334455,53,1294.8113207547,0.3413035794,0.1089581928,7477.2559807567,64743.9463180357,423939.466072722,174,13495.5825088368,97794.0761509914,0.2306793398
Hooper Bay,Lower Yukon-Kuskokwim,256,104,1233.7836538462,0.1446537768,18561.0323845968,104,1233.7836538462,0.1446537768,37,796,0.2652378437,0.1018632772,3000.0772399431,42085.3281267382,267011.363237233,115,5443.799458553,39447.8221634275,0.1477383647
Hope,Railbelt,97,4,903.8125,0.2915628176,1054.0724761824,4,1747.5136673929,0.1539357067,3,1018.0833333333,0.2301575703,0.1907122058,582.4827545932,25846.9828594852,172915.672894821,90,5572.2131990201,40378.3565146383,0.2335147291
Houston,Railbelt,731,27,1376.6018518519,0.1455498795,5409.8343075619,27,1376.6018518519,0.1455498795,20,1495.8,0.1703902608,0.1177049511,3521.2613182723,145980.231417401,949449.068242036,684,23351.8379942993,169216.217349995,0.1782256922
Hughes,Yukon-Koyukuk/Upper Tanana,31,30,815.2666666667,0.1707400951,4175.9612460631,30,815.2666666667,0.1707400951,19,736.4736842105,0.1911741181,0.1459940588,2042.8948644908,3713.279362916,22311.734513884,0,0,0,0
Huslia,Yukon-Koyukuk/Upper Tanana,91,29,1007.8965517241,0.1435590644,4196.0878936951,29,1007.8965517241,0.1435590644,18,887.4444444444,0.1278800212,0.1230969451,1966.3506005167,12528.9166777492,77297.5121576028,44,814.1453651813,5899.6040955166,0.0763233373
Hydaburg,Southeast,128,59,1170.5423728814,0.1189296342,8213.5183954596,59,1170.5423728814,0.1189296342,40,1174.425,0.2630062538,0.076511463,3594.2789972159,15844.9505023082,95841.0905964359,29,1061.7965153688,7694.1776475996,0.0802805728
Hyder,Southeast,48,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,10087.8933301837,65984.1545665489,48,2831.2855298013,20516.5618101542,0.3109316463
Igiugig,Bristol Bay,16,21,1212.7619047619,0.0921940066,2347.9969612918,21,1212.7619047619,0.0921940066,0,0,0.2334826601,0,0,1788.9500657461,10591.2323604792,0,0,0,0
Iliamna,Bristol Bay,39,25,1296.84,0.1643300459,5327.7444185162,25,1296.84,0.1643300459,18,1130.3888888889,0.3234954473,0.1229332444,2501.3227229533,6976.6280345068,44773.1016993249,0,0,0,0
Ivanof Bay,Bristol Bay,2,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,342.2650517939,2183.6597956078,2,79.9129547452,579.0793822117,0.2651875459
Juneau,Southeast,12187,3550,1771.3321513269,0.1199230701,754103.743498265,3550,1771.3321513269,0.1199230701,1447,1698.8304781705,0.2755492127,0.0907047565,222971.131092044,2504400.48466144,16340974.3816047,7190,420853.369322471,3049662.09653965,0.1866266983
